Source,Target
66,-80789757
88,-80789757
66,-68609148
78,-43432136
-1907187532,-43432136
-1907187532,-6650867
78,0
-1907187532,0
1579768016,0
1012444188,0
66,0
78,32
66,32
-1907187532,32
1012444188,32
1579768016,32
-1907187532,1024
1012444188,1024
78,1024
66,1024
1579768016,1024
-1907187532,2500
1579768016,2500
1012444188,2500
78,2500
66,2500
-1907187532,2914
66,2914
78,2914
-1907187532,31776
66,31776
78,31776
78,64545
78,2099048
-1907187532,2136854
78,2136854
1012444188,2136854
66,2136854
-991054700,41058314
66,64593414
-1907187532,64593414
78,64593414
3278,67762524
-267229869,67762524
66,67762524
-1907187532,67762524
-1907187532,69755521
-978655353,69755521
85918,69755521
1012444188,69755521
1579768016,69755521
66,69755521
78,69755521
694339097,69755521
-1382619234,69755521
88,71328769
78,71328769
-1907187532,71328769
66,71328769
1579768016,76405278
78,76405278
1012444188,76405278
-1907187532,76405278
88,76405278
66,76405278
66,79654635
1012444188,79654635
1579768016,79654635
78,79654635
-1907187532,79654635
-1907187532,84861644
66,84861644
1012444188,118132862
-1669919998,118132862
66,118132862
1579768016,118132862
-1907187532,118132862
78,118132862
-1907187532,149943203
-1907187532,210511766
78,210511766
66,210511766
66,210554739
78,210554739
-607679464,260931584
640403477,260931584
-1907187532,260931584
66,260931584
78,260931584
88,260931584
1918081636,260931584
1012444188,260931584
1579768016,260931584
-1907187532,294368261
66,294368261
78,325223219
1688541461,325223219
-1907187532,325223219
1012444188,325223219
66,325223219
-1907187532,362734344
66,362734344
78,362734344
-991054700,362734344
78,391371710
78,399031784
1012444188,399031784
66,399031784
-1907187532,399031784
1579768016,399031784
66,441420485
1579768016,441420485
-1907187532,441420485
1012444188,441420485
78,441420485
-1907187532,469422493
88,469422493
66,469422493
78,469422493
78,521070626
-1907187532,521070626
66,521070626
3278,559996476
78,559996476
1579768016,559996476
66,559996476
88,559996476
-1907187532,559996476
-1494555279,559996476
1012444188,559996476
66,563367470
1012444188,563367470
-1907187532,563367470
78,563367470
88,580775070
3278,580775070
1579768016,580775070
-1907187532,580775070
1012444188,580775070
78,580775070
662316613,580775070
66,580775070
133876689,581080810
1579768016,581080810
66,581080810
-1907187532,581080810
1012444188,581080810
78,581080810
78,585925135
-1907187532,585925135
66,585925135
1579768016,585925135
1012444188,585925135
78,608575281
-1907187532,608575281
66,608575281
1579768016,608575281
1012444188,608575281
1579768016,653618189
1012444188,653618189
-1907187532,653618189
66,653618189
78,653618189
78,676208710
1012444188,676208710
-1907187532,676208710
66,676208710
1579768016,676208710
78,699802827
1012444188,699802827
1579768016,699802827
-1907187532,699802827
66,699802827
66,717625509
1012444188,717625509
78,717625509
1579768016,717625509
-1907187532,717625509
66,746210977
-1907187532,746210977
1579768016,747050585
1012444188,747050585
66,747050585
-1907187532,747050585
78,747050585
66,784274629
78,784274629
-1907187532,784274629
78,795948169
1012444188,835693430
66,835693430
78,835693430
-1907187532,835693430
1579768016,835693430
-1907187532,837402110
66,837402110
78,837402110
-1907187532,896721582
66,896721582
66,913687117
-1907187532,913687117
78,913687117
-1907187532,1013241233
66,1013241233
1579768016,1013241233
78,1013241233
1012444188,1013241233
-1907187532,1059090320
66,1059090320
78,1059090320
1579768016,1062175085
66,1062175085
-1907187532,1062175085
78,1062175085
1012444188,1062175085
1579768016,1072361711
1012444188,1072361711
-1907187532,1072361711
66,1072361711
78,1072361711
-1907187532,1129166856
78,1129166856
-1907187532,1134894083
78,1134894083
66,1134894083
1579768016,1135893389
78,1135893389
1012444188,1135893389
-1907187532,1135893389
66,1135893389
78,1148639557
